,Name,Rating,Num_Ratings,Id,Status,AscLoc,BusTypes
0,Ball Garden,4.7,3.0,ChIJ335SSTZXa4gRYDAKVmjGMD4,OPERATIONAL,IUPUI,['park']
1,Stringtown Park,4.1,77.0,ChIJuasM5UNXa4gRPY5xO4OAH8M,OPERATIONAL,IUPUI,['park']
2,Simon Skjodt International Orangutan Center,4.8,172.0,ChIJOUBHmU5Xa4gRVKTCu4btNaI,OPERATIONAL,IUPUI,[]
3,Indianapolis Zoo,4.5,14979.0,ChIJK1-_KkxXa4gRazRkyTLNKBw,OPERATIONAL,IUPUI,"['zoo', 'aquarium']"
4,White River Gardens,4.7,876.0,ChIJK1-_KkxXa4gRw-A9oD9K_LY,CLOSED_TEMPORARILY,IUPUI,['park']
5,Waterfront Pavilion,4.7,27.0,ChIJZSmdK01Xa4gR_dhYKJWotk0,OPERATIONAL,IUPUI,['park']
6,Rev Mozel Sanders Park,4.4,28.0,ChIJN4hlIhhXa4gRpj6iGy_Aldw,OPERATIONAL,IUPUI,['park']
7,Central Canal,4.7,173.0,ChIJM5c6vLNQa4gRDg3XGdo6qu4,OPERATIONAL,IUPUI,[]
8,Military Park,4.6,1512.0,ChIJsxBy6rZQa4gR2Jn3yQRxKo8,OPERATIONAL,IUPUI,['park']
9,The Children's Maze,3.9,17.0,ChIJTRP-zbNQa4gRvmI4meRfeqQ,OPERATIONAL,IUPUI,['park']
10,Indiana State Museum,4.6,3060.0,ChIJNzJiEbFQa4gRkBVFg5gciGs,OPERATIONAL,IUPUI,['museum']
11,White River State Park,4.7,3835.0,ChIJZ4y_MrJQa4gR12PogzDop5s,OPERATIONAL,IUPUI,['park']
12,Haughville Park,4.0,108.0,ChIJX2KgS2xXa4gR3M8mZkl8fi4,OPERATIONAL,IUPUI,['park']
13,Eiteljorg Museum,4.6,1429.0,ChIJR21I4rBQa4gRqO49IzDADJo,OPERATIONAL,IUPUI,['museum']
14,Kurt Vonnegut Museum and Library,4.8,56.0,ChIJmyMLQbhQa4gRHboaKh8qcgA,OPERATIONAL,IUPUI,"['museum', 'art_gallery', 'library']"
15,Crispus Attucks Museum (Indpls Public Schools),4.7,38.0,ChIJi5DQRM5Qa4gRMz0xZKIjajk,OPERATIONAL,IUPUI,['museum']
16,Association of Midwest Museums,4.457894736842105,848.9298245614035,ChIJi-aW0U612IcRNDrUSS-rfWQ,OPERATIONAL,IUPUI,['museum']
17,Frank And Katrina Basile Theater,4.0,6.0,ChIJEW0mQLdQa4gRPM901lm3pgk,OPERATIONAL,IUPUI,[]
18,Central Canal,4.7,23.0,ChIJ9zn6BQFRa4gRVeaU-kV66FE,OPERATIONAL,IUPUI,['park']
19,Eugene and Marilyn Glick Indiana History Center,4.4,15.0,ChIJN5LKQbdQa4gRcPs8b8Hk_wA,OPERATIONAL,IUPUI,"['library', 'museum']"
20,9/11 Memorial,4.8,300.0,ChIJI9ycT7dQa4gRLPZ5KZI3tzk,OPERATIONAL,IUPUI,['park']
21,Indianapolis Canal Walk,4.7,2114.0,ChIJmxDLC8hQa4gRt1yj2grc2_E,OPERATIONAL,IUPUI,['park']
22,Indiana Historical Society,4.7,730.0,ChIJN5LKQbdQa4gR73vWu5WdOXQ,OPERATIONAL,IUPUI,['museum']
23,Hawthorne Park,4.0,49.0,ChIJ28enAm9Xa4gRTMvhCy6tnz0,OPERATIONAL,IUPUI,['park']
24,The USS Indianapolis National Memorial,4.7,375.0,ChIJ9dZRKcZQa4gRABIIJe7GM1w,OPERATIONAL,IUPUI,[]
25,Max Bahr Park,3.9,53.0,ChIJizUY9nFXa4gRNcjTxxXb7U8,OPERATIONAL,IUPUI,['park']
26,The Purpose Park,4.0,29.0,ChIJu0Ry2G9Xa4gRzpl_He3HiDI,OPERATIONAL,IUPUI,['park']
27,Caulander lights,4.457894736842105,848.9298245614035,ChIJhyEd3XRRa4gRPSPRYwJ3Kr0,OPERATIONAL,IUPUI,[]
28,Indiana Statehouse,4.6,186.0,ChIJ_RtdurtQa4gRoFgoxW4yMxA,OPERATIONAL,IUPUI,[]
29,The Indianapolis Cultural Trail,4.8,33.0,ChIJMWfq3MZQa4gRiNTDdmhU8B0,OPERATIONAL,IUPUI,[]
30,Saint John the Evangelist,4.8,358.0,ChIJq8TOOLtQa4gRLCyNswJcRUQ,OPERATIONAL,IUPUI,"['church', 'place_of_worship']"
31,Rhythm! Discovery Center,4.7,273.0,ChIJE4gJjrtQa4gRod4K8MXEYnM,OPERATIONAL,IUPUI,['museum']
32,2021 Indianapolis 4th of July Fireworks NEW Launch Location (Annual),4.457894736842105,848.9298245614035,ChIJl4B6dHFRa4gRQsAvKMh1ue4,OPERATIONAL,IUPUI,[]
33,Scottish Rite Cathedral,4.7,422.0,ChIJ8cgO5MBQa4gRwNgsyP9lLug,OPERATIONAL,IUPUI,[]
34,Glick Peace Walk,4.8,4.0,ChIJwQaaHMFQa4gRfMcRpiHQIIk,OPERATIONAL,IUPUI,['park']
35,Rhodius Park,4.1,457.0,ChIJXcNUi-FZa4gRrYfKazAQM10,OPERATIONAL,IUPUI,['park']
36,Soldiers & Sailors Monument,4.7,7528.0,ChIJkRIaJrxQa4gR6Ruza5aW-04,CLOSED_TEMPORARILY,IUPUI,[]
37,Christ Church Cathedral,4.4,205.0,ChIJgQv3hL5Qa4gRlHxlNJ5yWwY,OPERATIONAL,IUPUI,"['church', 'place_of_worship']"
38,Indiana World War Memorial,4.7,2144.0,ChIJqVPwhL9Qa4gRMAVCZi4dX6Q,OPERATIONAL,IUPUI,['park']
39,University Park (University Square),4.6,34.0,ChIJt6nmhBtRa4gRyy6IWi6eKdI,OPERATIONAL,IUPUI,['park']
40,Depew Memorial Fountain,4.7,91.0,ChIJq3Xypb9Qa4gRhbIU82yKRmU,OPERATIONAL,IUPUI,['park']
41,American Legion Mall,4.5,465.0,ChIJazfprcFQa4gRhgH4qrt0dgc,OPERATIONAL,IUPUI,['park']
42,Indiana Medical History Museum,4.6,356.0,ChIJVzj0l3NXa4gRSIBFPJLvjTc,OPERATIONAL,IUPUI,['museum']
43,CMG Worldwide,4.1,11.0,ChIJa7zfoGWzFIgRkmitvHE-QLY,OPERATIONAL,IUPUI,[]
44,The Escape Room Indianapolis,4.8,1821.0,ChIJW8AJyrxQa4gRa6gKX9J79Bw,OPERATIONAL,IUPUI,[]
45,Babe Denny Park,4.2,49.0,ChIJmZsC2qdQa4gRrTWijfnH6t4,OPERATIONAL,IUPUI,['park']
46,Catacombs,3.9,58.0,ChIJf81M3pVQa4gR70uixgIftdU,OPERATIONAL,IUPUI,[]
47,Indy Parks & Rec Admin Office,3.0,2.0,ChIJJxyCNLpQa4gRuwYjg6FTupA,OPERATIONAL,IUPUI,[]
48,The HandleBar,4.9,2367.0,ChIJSchjr5tQa4gRr5-0KRqjZq0,OPERATIONAL,IUPUI,['travel_agency']
49,Benjamin Harrison Presidential Site,4.7,372.0,ChIJhY9RB-hQa4gRN0s52jjwBko,OPERATIONAL,IUPUI,['museum']
50,Butterfly Wings,5.0,1.0,ChIJIYOIpRFRa4gR3SpMzpoT-S4,OPERATIONAL,IUPUI,[]
51,Presidential Place,4.3,32.0,ChIJJ1O_-JZQa4gRlazZZWLOLlM,OPERATIONAL,IUPUI,['park']
52,Saint Mary's Catholic Church,4.7,226.0,ChIJbVtjppRQa4gRDHWj_pz7_uA,OPERATIONAL,IUPUI,"['church', 'place_of_worship']"
53,CityWay Gallery,3.8,21.0,ChIJm-6zn3haa4gRvFCUhDOtUqo,CLOSED_TEMPORARILY,IUPUI,['art_gallery']
54,Thomas Taggart Memorial,4.5,6.0,ChIJxbURd95Wa4gRvgExoYZH3U8,OPERATIONAL,IUPUI,[]
55,Watkins Park,4.3,313.0,ChIJ-Y0LiitRa4gRgOBTcd66lH0,OPERATIONAL,IUPUI,['park']
56,Indianapolis Parks & Rec Department,4.0,29.0,ChIJJxyCNLpQa4gRG65RExRi_Fo,OPERATIONAL,IUPUI,['park']
57,Riverside Park Master Plan,3.8,4.0,ChIJ__-_zN1Wa4gRy0MOvNFSr5I,OPERATIONAL,IUPUI,['park']
58,James Whitcomb Riley Museum and Historical Marker,4.6,67.0,ChIJdUPSGZNQa4gR36Tcly2Yhn4,OPERATIONAL,IUPUI,['museum']
59,Riverside Park,4.4,370.0,ChIJj2IUG9xWa4gR96QpGaYwUvg,OPERATIONAL,IUPUI,['park']
60,The Escape Room Indianapolis,4.8,1821.0,ChIJW8AJyrxQa4gRa6gKX9J79Bw,OPERATIONAL,Industrious Mass Ave,[]
61,Rhythm! Discovery Center,4.7,273.0,ChIJE4gJjrtQa4gRod4K8MXEYnM,OPERATIONAL,Industrious Mass Ave,['museum']
62,Soldiers & Sailors Monument,4.7,7528.0,ChIJkRIaJrxQa4gR6Ruza5aW-04,CLOSED_TEMPORARILY,Industrious Mass Ave,[]
63,Saint John the Evangelist,4.8,358.0,ChIJq8TOOLtQa4gRLCyNswJcRUQ,OPERATIONAL,Industrious Mass Ave,"['church', 'place_of_worship']"
64,Christ Church Cathedral,4.4,205.0,ChIJgQv3hL5Qa4gRlHxlNJ5yWwY,OPERATIONAL,Industrious Mass Ave,"['church', 'place_of_worship']"
65,Indy Parks & Rec Admin Office,3.0,2.0,ChIJJxyCNLpQa4gRuwYjg6FTupA,OPERATIONAL,Industrious Mass Ave,[]
66,Presidential Place,4.3,32.0,ChIJJ1O_-JZQa4gRlazZZWLOLlM,OPERATIONAL,Industrious Mass Ave,['park']
67,Catacombs,3.9,58.0,ChIJf81M3pVQa4gR70uixgIftdU,OPERATIONAL,Industrious Mass Ave,[]
68,Butterfly Wings,5.0,1.0,ChIJIYOIpRFRa4gR3SpMzpoT-S4,OPERATIONAL,Industrious Mass Ave,[]
69,Indiana Statehouse,4.6,186.0,ChIJ_RtdurtQa4gRoFgoxW4yMxA,OPERATIONAL,Industrious Mass Ave,[]
70,CityWay Gallery,3.8,21.0,ChIJm-6zn3haa4gRvFCUhDOtUqo,CLOSED_TEMPORARILY,Industrious Mass Ave,['art_gallery']
71,The HandleBar,4.9,2367.0,ChIJSchjr5tQa4gRr5-0KRqjZq0,OPERATIONAL,Industrious Mass Ave,['travel_agency']
72,University Park (University Square),4.6,34.0,ChIJt6nmhBtRa4gRyy6IWi6eKdI,OPERATIONAL,Industrious Mass Ave,['park']
73,Depew Memorial Fountain,4.7,91.0,ChIJq3Xypb9Qa4gRhbIU82yKRmU,OPERATIONAL,Industrious Mass Ave,['park']
74,9/11 Memorial,4.8,300.0,ChIJI9ycT7dQa4gRLPZ5KZI3tzk,OPERATIONAL,Industrious Mass Ave,['park']
75,Indiana Historical Society,4.7,730.0,ChIJN5LKQbdQa4gR73vWu5WdOXQ,OPERATIONAL,Industrious Mass Ave,['museum']
76,Central Canal,4.7,23.0,ChIJ9zn6BQFRa4gRVeaU-kV66FE,OPERATIONAL,Industrious Mass Ave,['park']
77,Indiana World War Memorial,4.7,2144.0,ChIJqVPwhL9Qa4gRMAVCZi4dX6Q,OPERATIONAL,Industrious Mass Ave,['park']
78,Eugene and Marilyn Glick Indiana History Center,4.4,15.0,ChIJN5LKQbdQa4gRcPs8b8Hk_wA,OPERATIONAL,Industrious Mass Ave,"['library', 'museum']"
79,CMG Worldwide,4.1,11.0,ChIJa7zfoGWzFIgRkmitvHE-QLY,OPERATIONAL,Industrious Mass Ave,[]
80,Frank And Katrina Basile Theater,4.0,6.0,ChIJEW0mQLdQa4gRPM901lm3pgk,OPERATIONAL,Industrious Mass Ave,[]
81,Association of Midwest Museums,4.5549019607843135,632.2352941176471,ChIJi-aW0U612IcRNDrUSS-rfWQ,OPERATIONAL,Industrious Mass Ave,['museum']
82,Eiteljorg Museum,4.6,1429.0,ChIJR21I4rBQa4gRqO49IzDADJo,OPERATIONAL,Industrious Mass Ave,['museum']
83,Saint Mary's Catholic Church,4.7,226.0,ChIJbVtjppRQa4gRDHWj_pz7_uA,OPERATIONAL,Industrious Mass Ave,"['church', 'place_of_worship']"
84,2021 Indianapolis 4th of July Fireworks NEW Launch Location (Annual),4.5549019607843135,632.2352941176471,ChIJl4B6dHFRa4gRQsAvKMh1ue4,OPERATIONAL,Industrious Mass Ave,[]
85,Indiana State Museum,4.6,3060.0,ChIJNzJiEbFQa4gRkBVFg5gciGs,OPERATIONAL,Industrious Mass Ave,['museum']
86,Military Park,4.6,1512.0,ChIJsxBy6rZQa4gR2Jn3yQRxKo8,OPERATIONAL,Industrious Mass Ave,['park']
87,James Whitcomb Riley Museum and Historical Marker,4.6,67.0,ChIJdUPSGZNQa4gR36Tcly2Yhn4,OPERATIONAL,Industrious Mass Ave,['museum']
88,Central Canal,4.7,173.0,ChIJM5c6vLNQa4gRDg3XGdo6qu4,OPERATIONAL,Industrious Mass Ave,[]
89,White River State Park,4.7,3835.0,ChIJZ4y_MrJQa4gR12PogzDop5s,OPERATIONAL,Industrious Mass Ave,['park']
90,The Children's Maze,3.9,17.0,ChIJTRP-zbNQa4gRvmI4meRfeqQ,OPERATIONAL,Industrious Mass Ave,['park']
91,Easley Winery,4.7,166.0,ChIJE1uEcZJQa4gRYMrOPUvoMso,OPERATIONAL,Industrious Mass Ave,[]
92,Holy Rosary Church,4.8,210.0,ChIJjx5SdZxQa4gRUZZG2x8ifYw,OPERATIONAL,Industrious Mass Ave,"['church', 'place_of_worship']"
93,Scottish Rite Cathedral,4.7,422.0,ChIJ8cgO5MBQa4gRwNgsyP9lLug,OPERATIONAL,Industrious Mass Ave,[]
94,Glick Peace Walk,4.8,4.0,ChIJwQaaHMFQa4gRfMcRpiHQIIk,OPERATIONAL,Industrious Mass Ave,['park']
95,Indianapolis Canal Walk,4.7,2114.0,ChIJmxDLC8hQa4gRt1yj2grc2_E,OPERATIONAL,Industrious Mass Ave,['park']
96,Edna Balz Lacy Park,4.4,84.0,ChIJ3_gsbpxQa4gRvzyYpbHI0wg,OPERATIONAL,Industrious Mass Ave,['park']
97,American Legion Mall,4.5,465.0,ChIJazfprcFQa4gRhgH4qrt0dgc,OPERATIONAL,Industrious Mass Ave,['park']
98,Caulander lights,4.5549019607843135,632.2352941176471,ChIJhyEd3XRRa4gRPSPRYwJ3Kr0,OPERATIONAL,Industrious Mass Ave,[]
99,The Indianapolis Cultural Trail,4.8,33.0,ChIJMWfq3MZQa4gRiNTDdmhU8B0,OPERATIONAL,Industrious Mass Ave,[]
100,Babe Denny Park,4.2,49.0,ChIJmZsC2qdQa4gRrTWijfnH6t4,OPERATIONAL,Industrious Mass Ave,['park']
101,Kurt Vonnegut Museum and Library,4.8,56.0,ChIJmyMLQbhQa4gRHboaKh8qcgA,OPERATIONAL,Industrious Mass Ave,"['museum', 'art_gallery', 'library']"
102,The USS Indianapolis National Memorial,4.7,375.0,ChIJ9dZRKcZQa4gRABIIJe7GM1w,OPERATIONAL,Industrious Mass Ave,[]
103,Indianapolis Park Rangers,5.0,2.0,ChIJiXZYWnVaa4gRc1Gh8yfhQVg,OPERATIONAL,Industrious Mass Ave,[]
104,Waterfront Pavilion,4.7,27.0,ChIJZSmdK01Xa4gR_dhYKJWotk0,OPERATIONAL,Industrious Mass Ave,['park']
105,Chatham Commons,4.5,8.0,ChIJq13ZP-xQa4gRhTChqZhypps,OPERATIONAL,Industrious Mass Ave,['park']
106,White River Gardens,4.7,876.0,ChIJK1-_KkxXa4gRw-A9oD9K_LY,CLOSED_TEMPORARILY,Industrious Mass Ave,['park']
107,Indianapolis Fire Fighters Museum,4.8,131.0,ChIJNUFXv-1Qa4gRklzQJi75u7c,OPERATIONAL,Industrious Mass Ave,['museum']
108,Firefighters Museum & Survive Alive,4.9,27.0,ChIJNUFXv-1Qa4gRZ39gj14t1s4,OPERATIONAL,Industrious Mass Ave,['museum']
109,Hendricks Park,3.9,43.0,ChIJUxzYGXVaa4gRj1kVysHgvWI,OPERATIONAL,Industrious Mass Ave,['park']
110,Highland Park,4.5,220.0,ChIJ7x1PCotQa4gRy_f0VmJgRy0,OPERATIONAL,Industrious Mass Ave,['park']
111,Hot Shot Tot Lot,4.7,18.0,ChIJdQSXn4NQa4gRQiyU3byhn5Q,OPERATIONAL,Industrious Mass Ave,['park']
112,Simon Skjodt International Orangutan Center,4.8,172.0,ChIJOUBHmU5Xa4gRVKTCu4btNaI,OPERATIONAL,Industrious Mass Ave,[]
113,St. Patrick Catholic Church,4.7,217.0,ChIJAc-MgHhaa4gRdE6UuZNf94A,OPERATIONAL,Industrious Mass Ave,"['church', 'place_of_worship']"
114,Roy. G. Holland Memorial Park,4.7,800.0,ChIJHYXllY-zFIgRE6AE3EGLK-E,OPERATIONAL,Launch Fishers,['park']
115,The Escape Room Fishers,4.9,1924.0,ChIJr6qqG3-0FIgRxy2CsJKXD-0,OPERATIONAL,Launch Fishers,['museum']
116,Central Green,4.6,24.0,ChIJ2VgCYYGzFIgRCUV_AAdDXCA,OPERATIONAL,Launch Fishers,['park']
